time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
2022-01-31,24.6,73.5,0.0,971.1
2022-02-28,24.6,71.5,0.0,972.3
2022-03-31,23.8,76.0,0.0,973.1
2022-04-30,23.0,69.0,0.0,974.7
2022-05-31,18.7,61.0,0.0,977.7
2022-06-30,19.35,65.0,0.0,977.5
2022-07-31,21.5,42.0,0.0,977.2
2022-08-31,20.2,54.0,0.0,978.1
2022-09-30,21.05,60.0,0.0,975.9
2022-10-31,22.3,74.0,0.0,973.9
2022-11-30,23.6,58.0,0.0,973.6
2022-12-31,25.5,75.0,0.0,971.8
2023-01-31,24.9,78.0,0.0,973.2
2023-02-28,24.4,83.0,0.0,974.4
2023-03-31,25.0,81.0,0.0,975.0
2023-04-30,23.4,76.5,0.0,975.7
2023-05-31,21.7,70.0,0.0,977.9
2023-06-30,18.8,74.0,0.0,980.1
2023-07-31,20.8,64.0,0.0,979.7
2023-08-31,22.7,60.0,0.0,977.4
2023-09-30,26.7,58.0,0.0,974.5
2023-10-31,26.55,70.0,0.0,972.4
2023-11-30,26.6,68.0,0.0,972.5
2023-12-31,27.8,68.0,0.0,972.8499999999999
