time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure
2022-01-01T00:00,20.3,84,0.0,967.2
2022-01-01T01:00,19.9,86,0.0,967.1
2022-01-01T02:00,19.6,89,0.0,967.0
2022-01-01T03:00,19.5,88,0.0,967.0
2022-01-01T04:00,19.4,87,0.0,967.2
2022-01-01T05:00,19.4,87,0.0,967.8
2022-01-01T06:00,21.0,81,0.0,969.0
2022-01-01T07:00,23.0,72,0.0,969.8
2022-01-01T08:00,25.5,63,0.0,970.3
2022-01-01T09:00,27.9,56,0.0,970.2
2022-01-01T10:00,30.4,49,0.0,969.8
2022-01-01T11:00,32.5,44,0.0,969.1
2022-01-01T12:00,33.8,40,0.0,968.2
2022-01-01T13:00,34.5,36,0.0,967.1
2022-01-01T14:00,32.2,39,0.0,966.4
2022-01-01T15:00,30.6,47,0.0,965.7
2022-01-01T16:00,32.0,40,0.0,965.7
2022-01-01T17:00,31.5,45,0.0,966.1
2022-01-01T18:00,28.3,53,0.0,966.5
2022-01-01T19:00,26.4,56,0.0,967.0
2022-01-01T20:00,25.2,62,0.0,967.8
2022-01-01T21:00,24.4,66,0.0,968.5
2022-01-01T22:00,23.5,72,0.0,968.9
2022-01-01T23:00,23.1,75,0.0,968.9
2022-01-02T00:00,22.9,77,0.0,968.7
2022-01-02T01:00,22.4,79,0.0,968.6
2022-01-02T02:00,21.7,84,0.0,968.6
2022-01-02T03:00,21.3,87,0.0,968.7
2022-01-02T04:00,21.1,88,0.0,969.3
2022-01-02T05:00,21.0,89,0.0,970.3
2022-01-02T06:00,22.7,82,0.0,971.2
2022-01-02T07:00,25.1,71,0.0,971.8
2022-01-02T08:00,27.5,62,0.0,971.8
2022-01-02T09:00,29.8,53,0.0,971.6
2022-01-02T10:00,32.1,45,0.0,971.0
2022-01-02T11:00,33.8,40,0.0,970.0
2022-01-02T12:00,34.8,36,0.0,969.0
2022-01-02T13:00,34.9,34,0.0,968.1
2022-01-02T14:00,35.4,33,0.0,967.9
2022-01-02T15:00,31.9,44,0.0,967.5
2022-01-02T16:00,30.3,49,0.0,967.4
2022-01-02T17:00,30.3,49,0.0,967.8
2022-01-02T18:00,28.3,55,0.0,968.3
2022-01-02T19:00,25.2,74,1.6,968.6
2022-01-02T20:00,24.5,78,0.0,969.4
2022-01-02T21:00,24.2,80,0.0,970.4
2022-01-02T22:00,23.2,87,0.0,970.5
2022-01-02T23:00,22.6,91,0.0,970.4
2022-01-03T00:00,22.4,91,0.0,969.6
2022-01-03T01:00,22.3,90,0.0,969.4
2022-01-03T02:00,22.1,89,0.0,969.6
2022-01-03T03:00,21.9,89,0.0,970.0
2022-01-03T04:00,21.6,90,0.0,970.4
2022-01-03T05:00,21.5,90,0.0,971.3
2022-01-03T06:00,23.2,84,0.0,972.3
2022-01-03T07:00,25.8,72,0.0,972.8
2022-01-03T08:00,28.9,61,0.0,972.6
2022-01-03T09:00,32.2,49,0.0,971.9
2022-01-03T10:00,34.6,40,0.0,971.1
2022-01-03T11:00,36.5,35,0.0,969.9
2022-01-03T12:00,37.8,31,0.0,968.9
2022-01-03T13:00,37.5,30,0.0,967.1
2022-01-03T14:00,35.1,34,0.0,965.4
2022-01-03T15:00,35.5,33,0.0,964.9
2022-01-03T16:00,35.7,32,0.0,965.1
2022-01-03T17:00,34.1,35,0.0,965.7
2022-01-03T18:00,30.9,46,0.0,967.1
2022-01-03T19:00,21.7,95,3.5,968.9
2022-01-03T20:00,21.8,93,0.7,969.7
2022-01-03T21:00,21.7,91,0.6,970.3
2022-01-03T22:00,21.5,94,1.3,970.0
2022-01-03T23:00,21.5,95,2.0,969.2
2022-01-04T00:00,21.8,94,0.2,967.2
2022-01-04T01:00,22.0,94,0.0,966.5
2022-01-04T02:00,22.3,93,0.0,966.3
2022-01-04T03:00,22.2,93,0.0,966.6
2022-01-04T04:00,22.1,92,0.0,966.7
2022-01-04T05:00,21.8,93,0.0,967.4
2022-01-04T06:00,22.3,93,0.0,968.3
2022-01-04T07:00,22.2,93,0.0,968.7
2022-01-04T08:00,22.7,91,0.0,969.0
2022-01-04T09:00,24.7,79,0.0,969.1
2022-01-04T10:00,28.1,64,0.0,969.0
2022-01-04T11:00,29.6,58,0.0,968.3
2022-01-04T12:00,29.8,56,0.0,967.4
2022-01-04T13:00,32.3,48,0.0,966.5
2022-01-04T14:00,31.3,52,0.0,965.6
2022-01-04T15:00,32.6,48,0.0,964.8
2022-01-04T16:00,30.1,56,0.0,963.5
2022-01-04T17:00,26.6,67,0.0,963.9
2022-01-04T18:00,24.7,78,0.0,965.4
2022-01-04T19:00,23.7,80,0.0,965.5
2022-01-04T20:00,22.9,88,0.3,966.3
2022-01-04T21:00,22.5,88,0.0,967.3
2022-01-04T22:00,22.2,91,0.1,967.9
2022-01-04T23:00,22.1,93,0.0,967.7
2022-01-05T00:00,22.7,92,0.0,966.9
2022-01-05T01:00,21.9,95,0.0,966.8
2022-01-05T02:00,21.1,96,0.0,966.4
2022-01-05T03:00,21.1,96,0.0,966.7
2022-01-05T04:00,21.3,95,0.0,967.0
2022-01-05T05:00,21.3,96,0.0,968.0
2022-01-05T06:00,22.5,92,0.0,968.8
2022-01-05T07:00,24.6,85,0.0,969.3
2022-01-05T08:00,27.0,75,0.1,969.1
2022-01-05T09:00,30.9,52,0.0,969.1
2022-01-05T10:00,31.7,47,0.0,968.8
2022-01-05T11:00,32.8,44,0.0,968.1
2022-01-05T12:00,34.2,40,0.0,967.2
2022-01-05T13:00,34.1,40,0.1,965.9
2022-01-05T14:00,29.1,61,0.8,964.8
2022-01-05T15:00,26.9,77,3.5,965.2
2022-01-05T16:00,23.5,93,1.9,964.5
2022-01-05T17:00,25.3,83,0.0,965.1
2022-01-05T18:00,24.3,89,0.0,966.2
2022-01-05T19:00,24.4,86,0.0,966.8
2022-01-05T20:00,24.5,83,0.0,967.3
2022-01-05T21:00,24.5,82,0.0,967.7
2022-01-05T22:00,24.2,83,0.0,968.2
2022-01-05T23:00,23.6,86,0.0,968.1
2022-01-06T00:00,22.9,88,0.0,967.5
2022-01-06T01:00,22.9,85,0.0,967.0
2022-01-06T02:00,23.5,79,0.0,967.1
2022-01-06T03:00,23.4,79,0.0,967.0
2022-01-06T04:00,22.6,82,0.0,967.3
2022-01-06T05:00,22.5,83,0.1,967.9
2022-01-06T06:00,22.6,84,0.0,968.6
2022-01-06T07:00,25.6,71,0.0,969.2
2022-01-06T08:00,27.0,66,0.0,969.9
2022-01-06T09:00,26.2,68,0.0,969.8
2022-01-06T10:00,27.3,64,0.0,969.8
2022-01-06T11:00,28.3,60,0.0,969.3
2022-01-06T12:00,28.4,59,0.0,968.7
2022-01-06T13:00,28.4,59,0.0,967.6
2022-01-06T14:00,31.4,50,0.0,966.5
2022-01-06T15:00,32.0,47,0.0,965.8
2022-01-06T16:00,31.9,45,0.0,966.2
2022-01-06T17:00,30.9,50,0.0,966.6
2022-01-06T18:00,27.9,60,0.0,967.3
2022-01-06T19:00,23.2,83,0.4,967.9
2022-01-06T20:00,23.5,80,0.0,967.7
2022-01-06T21:00,24.0,78,0.0,968.9
2022-01-06T22:00,22.3,88,1.2,969.5
